"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
61908;"gm. Wyryki";"włodawski";"lubelskie";7;7;7;1880;1945;682;1198;0;1198;1;7;0;0;0;0;0;0;1198;0;0;1198;61;40;21;0;1137;27;175;45;608;104;152;26;0;;;;
62001;"gm. Adamów";"zamojski";"lubelskie";7;7;7;3400;3643;939;2461;0;2461;8;18;0;0;0;0;0;0;2459;0;1;2458;63;40;23;0;2395;82;231;95;1466;172;253;77;19;;;;
62002;"gm. Grabowiec";"zamojski";"lubelskie";7;6;6;2848;3022;984;1864;4;1868;16;15;3;0;0;0;0;3;1867;3;0;1867;56;34;22;0;1811;25;164;52;1184;162;192;28;4;;;;
62003;"gm. Komarów-Osada";"zamojski";"lubelskie";7;11;11;3568;3760;987;2581;0;2581;15;23;0;0;0;0;0;0;2581;0;4;2577;78;43;35;0;2499;45;374;96;1543;166;225;35;15;;;;
62004;"gm. Krasnobród";"zamojski";"lubelskie";7;13;13;5289;5640;1199;4090;4;4094;11;207;3;0;0;0;0;3;4092;3;0;4092;96;63;33;0;3996;62;343;146;2483;275;369;263;55;;;;
62005;"gm. Łabunie";"zamojski";"lubelskie";7;8;8;4460;4697;1146;3311;2;3313;11;52;2;0;0;0;0;2;3313;2;0;3313;51;33;18;0;3262;54;391;114;1978;322;301;83;19;;;;
62006;"gm. Miączyn";"zamojski";"lubelskie";7;9;9;3997;4262;1416;2581;2;2583;13;36;2;0;0;0;0;2;2583;2;0;2583;82;59;23;0;2501;50;335;79;1538;204;248;41;6;;;;
62007;"gm. Nielisz";"zamojski";"lubelskie";7;7;7;3988;4224;1407;2581;0;2581;6;29;0;0;0;0;0;0;2581;0;0;2581;49;41;8;0;2532;78;329;131;1530;167;251;33;13;;;;
62008;"gm. Radecznica";"zamojski";"lubelskie";7;11;11;4278;4379;1466;2812;0;2812;3;45;0;0;0;0;0;0;2812;0;1;2811;63;36;27;0;2748;46;293;88;1820;207;183;82;29;;;;
62009;"gm. Sitno";"zamojski";"lubelskie";7;10;10;4756;5069;1332;3424;1;3425;3;19;1;0;0;1;0;0;3424;0;2;3422;69;44;25;0;3353;68;344;138;2108;283;323;72;17;;;;
62010;"gm. Skierbieszów";"zamojski";"lubelskie";7;6;6;3671;3895;1190;2481;1;2482;13;23;1;0;0;0;0;1;2482;1;0;2482;59;36;23;0;2423;62;206;92;1565;204;228;61;5;;;;
62011;"gm. Stary Zamość";"zamojski";"lubelskie";7;8;8;3740;3951;1005;2735;1;2736;24;34;1;0;0;0;0;1;2736;1;0;2736;63;40;23;0;2673;62;309;113;1578;237;298;72;4;;;;
62012;"gm. Sułów";"zamojski";"lubelskie";7;6;6;3180;3375;1014;2166;1;2167;5;13;1;0;0;0;0;1;2167;1;0;2167;33;25;8;0;2134;61;211;69;1345;162;177;52;57;;;;
62013;"gm. Szczebrzeszyn";"zamojski";"lubelskie";7;13;13;8064;8496;2610;5454;4;5458;16;76;4;1;0;0;0;3;5457;3;0;5457;118;70;48;0;5339;365;522;269;2876;428;680;173;26;;;;
62014;"gm. Zamość";"zamojski";"lubelskie";7;25;25;17142;17932;4343;12799;10;12809;29;135;9;0;0;0;0;9;12801;9;0;12801;207;113;94;0;12594;282;1810;668;5911;1129;2288;445;61;;;;
62015;"gm. Zwierzyniec";"zamojski";"lubelskie";7;9;9;4830;5117;1436;3393;0;3393;10;113;0;0;0;0;0;0;3392;0;3;3389;74;47;27;0;3315;79;503;177;1566;214;689;68;19;;;;
66101;"Biała Podlaska";"Biała Podlaska";"lubelskie";7;29;29;39680;42256;8447;31240;23;31263;63;1011;23;1;0;0;0;22;31229;22;9;31220;413;272;141;0;30807;512;3505;1996;12589;2250;8863;950;142;;;;
66201;"Chełm";"Chełm";"lubelskie";7;36;36;43159;45531;11787;31367;29;31396;40;289;27;2;2;0;0;23;31390;25;12;31378;455;279;176;0;30923;528;3312;2316;12185;2078;9707;670;127;;;;
66301;"Lublin";"Lublin";"lubelskie";6;211;211;242965;257526;47837;195119;214;195333;299;3643;200;11;1;0;0;189;195262;189;74;195188;1895;806;846;243;193293;2835;34490;14776;63744;14736;58388;3784;540;;;;
66401;"Zamość";"Zamość";"lubelskie";7;35;35;43956;45930;11699;32251;36;32287;53;767;34;3;0;0;0;31;32259;31;15;32244;390;219;171;0;31854;531;4633;2350;13401;2173;7913;722;131;;;;
80101;"m. Kostrzyn nad Odrą";"gorzowski";"lubuskie";8;17;17;11800;12764;2258;9541;1;9542;6;174;1;0;0;0;0;1;9543;1;0;9543;204;127;57;20;9339;162;1208;1061;2073;634;4095;91;;;15;;
80102;"gm. Bogdaniec";"gorzowski";"lubuskie";8;6;6;4910;5349;1050;3860;3;3863;6;67;2;0;0;0;0;2;3859;2;1;3858;77;43;21;13;3781;119;552;309;1187;262;1307;42;;;3;;
80103;"gm. Deszczno";"gorzowski";"lubuskie";8;8;8;7740;7905;1871;5868;0;5868;11;75;0;0;0;0;0;0;5868;0;4;5864;127;75;44;8;5737;164;946;509;1594;469;1961;83;;;11;;
80104;"gm. Kłodawa";"gorzowski";"lubuskie";8;9;9;6438;6701;1138;5300;0;5300;4;74;0;0;0;0;0;0;5300;0;1;5299;97;61;30;6;5202;97;877;419;1169;366;2227;38;;;9;;
80105;"gm. Lubiszyn";"gorzowski";"lubuskie";8;7;7;5040;5319;1483;3557;0;3557;3;48;0;0;0;0;0;0;3555;0;1;3554;109;71;32;6;3445;77;586;305;1040;299;1093;30;;;15;;
80106;"gm. Santok";"gorzowski";"lubuskie";8;8;8;6576;6834;1747;4829;0;4829;7;35;0;0;0;0;0;0;4828;0;3;4825;130;71;53;6;4695;124;741;404;1243;401;1707;63;;;12;;
80107;"gm. Witnica";"gorzowski";"lubuskie";8;14;14;8794;9350;2418;6376;4;6380;7;143;4;0;0;0;0;4;6379;4;0;6379;198;103;74;21;6181;147;789;807;1896;537;1926;66;;;13;;
80201;"m. Gubin";"krośnieński";"lubuskie";8;10;10;11124;12094;2764;8359;0;8359;16;247;0;0;0;0;0;0;8359;0;9;8350;148;76;57;15;8202;215;1409;769;1701;512;3512;67;;;17;;
80202;"gm. Bobrowice";"krośnieński";"lubuskie";8;5;5;2230;2398;622;1608;0;1608;8;40;0;0;0;0;0;0;1608;0;0;1608;64;43;17;4;1544;28;240;70;511;93;579;15;;;8;;
80203;"gm. Bytnica";"krośnieński";"lubuskie";8;3;3;1619;1832;482;1137;3;1140;0;28;3;0;0;0;0;3;1139;3;1;1138;53;32;20;1;1085;21;123;70;390;55;411;13;;;2;;
80204;"gm. Dąbie";"krośnieński";"lubuskie";8;10;10;3517;3789;905;2612;1;2613;8;32;1;0;0;0;0;1;2612;1;0;2612;99;61;33;5;2513;61;387;137;809;149;947;20;;;3;;
80205;"gm. Gubin";"krośnieński";"lubuskie";8;12;12;5080;5556;1557;3523;0;3523;2;34;0;0;0;0;0;0;3522;0;0;3522;153;98;39;16;3369;121;570;225;1030;239;1139;35;;;10;;
80206;"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";8;18;18;12300;13039;2865;9435;2;9437;17;252;2;0;0;0;0;2;9435;2;10;9425;232;143;79;10;9193;123;951;501;2432;460;4652;59;;;15;;
80207;"gm. Maszewo";"krośnieński";"lubuskie";8;5;5;2000;2122;650;1350;0;1350;2;34;0;0;0;0;0;0;1349;0;0;1349;65;42;18;5;1284;26;187;74;493;81;406;14;;;3;;
80301;"gm. Bledzew";"międzyrzecki";"lubuskie";8;6;6;2961;3200;899;2062;1;2063;5;62;1;0;0;0;0;1;2063;1;0;2063;96;63;26;7;1967;70;271;168;711;128;580;32;;;7;;
80302;"gm. Międzyrzecz";"międzyrzecki";"lubuskie";8;23;23;17552;18574;4202;13347;4;13351;8;365;4;1;0;0;0;3;13337;3;3;13334;354;247;88;19;12980;344;2230;1393;3415;837;4613;121;;;27;;
80303;"gm. Przytoczna";"międzyrzecki";"lubuskie";8;7;7;3830;4153;1103;2727;2;2729;7;28;2;0;0;0;0;2;2729;2;3;2726;94;56;29;9;2632;99;493;203;782;187;826;29;;;13;;
80304;"gm. Pszczew";"międzyrzecki";"lubuskie";8;8;8;3026;3323;788;2238;0;2238;5;76;0;0;0;0;0;0;2238;0;3;2235;89;53;34;2;2146;46;421;146;729;175;599;27;;;3;;
80305;"gm. Skwierzyna";"międzyrzecki";"lubuskie";8;12;12;8383;8821;2370;6013;4;6017;17;147;4;0;0;0;0;4;6016;4;2;6014;170;104;52;14;5844;139;969;457;1750;366;2117;34;;;12;;
80306;"gm. Trzciel";"międzyrzecki";"lubuskie";8;9;9;4489;4848;1175;3314;0;3314;3;129;0;0;0;0;0;0;3314;0;0;3314;112;85;21;6;3202;142;669;253;935;254;924;17;;;8;;
80401;"m. Nowa Sól";"nowosolski";"lubuskie";8;18;18;25439;27338;5677;19754;29;19783;22;362;26;6;0;0;2;19;19763;19;18;19745;312;147;136;29;19433;418;2714;1595;5621;1092;7715;238;;;40;;
80402;"gm. Bytom Odrzański";"nowosolski";"lubuskie";8;4;4;3750;4023;1003;2747;2;2749;9;22;2;1;0;0;0;1;2747;1;1;2746;88;59;19;10;2658;36;553;186;793;161;881;42;;;6;;
80403;"gm. Kolsko";"nowosolski";"lubuskie";8;2;2;2330;2583;627;1703;0;1703;14;68;0;0;0;0;0;0;1703;0;0;1703;48;27;13;8;1655;43;212;131;626;126;483;27;;;7;;
80404;"gm. Kożuchów";"nowosolski";"lubuskie";8;14;14;10682;11570;2957;7720;8;7728;9;34;6;0;1;0;0;5;7728;5;2;7726;231;132;89;10;7495;169;916;556;2445;485;2826;81;;;17;;
80405;"gm. Nowa Sól";"nowosolski";"lubuskie";8;9;9;5050;5451;1187;3863;0;3863;5;33;0;0;0;0;0;0;3862;0;0;3862;85;46;32;7;3777;106;599;253;1251;281;1215;62;;;10;;
80406;"gm. Nowe Miasteczko";"nowosolski";"lubuskie";8;8;8;3660;3913;1131;2529;2;2531;9;16;2;0;0;0;0;2;2531;2;0;2531;73;45;16;12;2458;64;343;208;928;188;688;30;;;9;;
80407;"gm. Otyń";"nowosolski";"lubuskie";8;6;6;4980;5341;1160;3820;1;3821;6;36;1;0;0;0;0;1;3819;1;0;3819;119;68;38;13;3700;73;614;261;1093;268;1325;58;;;8;;
80408;"gm. Siedlisko";"nowosolski";"lubuskie";8;4;4;2406;2582;657;1749;2;1751;3;7;2;0;0;0;0;2;1751;2;0;1751;65;43;20;2;1686;36;302;99;707;92;418;31;;;1;;
80501;"gm. Cybinka";"słubicki";"lubuskie";8;5;5;4533;4887;1376;3157;0;3157;6;41;0;0;0;0;0;0;3157;0;1;3156;134;90;33;11;3022;47;428;283;989;250;988;30;;;7;;
80502;"gm. Górzyca";"słubicki";"lubuskie";8;4;4;2930;3182;815;2115;1;2116;2;23;1;0;0;0;0;1;2116;1;1;2115;95;65;27;3;2020;49;264;178;646;163;696;23;;;1;;
80503;"gm. Ośno Lubuskie";"słubicki";"lubuskie";8;4;4;4369;4726;1169;3199;2;3201;11;28;2;0;0;0;0;2;3200;2;3;3197;125;84;30;11;3072;123;510;272;894;202;1041;28;;;2;;
80504;"gm. Rzepin";"słubicki";"lubuskie";8;5;5;6640;7210;1733;4907;0;4907;8;113;0;0;0;0;0;0;4907;0;0;4907;146;89;45;12;4761;123;668;484;1348;328;1756;43;;;11;;
80505;"gm. Słubice";"słubicki";"lubuskie";8;20;20;14528;15988;2560;11968;3;11971;19;1019;3;0;1;0;0;2;11967;2;0;11967;201;114;64;23;11766;192;1564;2013;2366;735;4751;124;;;21;;
80601;"gm. Dobiegniew";"strzelecko-drezdenecki";"lubuskie";8;8;8;4587;4914;1443;3144;0;3144;10;88;0;0;0;0;0;0;3143;0;0;3143;90;52;27;11;3053;61;471;268;1143;143;897;68;;;2;;
80602;"gm. Drezdenko";"strzelecko-drezdenecki";"lubuskie";8;17;17;11795;12687;3181;8614;8;8622;9;205;7;1;0;0;0;6;8615;6;1;8614;284;179;73;32;8330;169;1207;703;2730;538;2828;142;;;13;;
80603;"gm. Stare Kurowo";"strzelecko-drezdenecki";"lubuskie";8;6;6;2779;3029;814;1965;1;1966;6;32;1;0;0;0;0;1;1964;1;0;1964;67;33;25;9;1897;35;385;119;635;119;576;24;;;4;;
80604;"gm. Strzelce Krajeńskie";"strzelecko-drezdenecki";"lubuskie";8;16;16;11631;12406;3161;8470;1;8471;20;67;1;0;0;1;0;0;8468;0;3;8465;226;157;57;12;8239;131;2095;603;2330;434;2562;69;;;15;;
80605;"gm. Zwierzyn";"strzelecko-drezdenecki";"lubuskie";8;5;5;2960;3175;903;2057;2;2059;1;13;2;0;0;0;0;2;2059;2;0;2059;97;69;23;5;1962;26;574;118;690;98;428;21;;;7;;
80701;"gm. Krzeszyce";"sulęciński";"lubuskie";8;5;5;3291;3530;887;2404;0;2404;5;20;0;0;0;0;0;0;2401;0;2;2399;93;43;26;24;2306;103;464;152;796;190;579;17;;;5;;
80702;"gm. Lubniewice";"sulęciński";"lubuskie";8;4;4;2190;2404;577;1613;0;1613;12;70;0;0;0;0;0;0;1613;0;0;1613;62;37;10;15;1551;65;201;92;471;98;601;19;;;4;;
80703;"gm. Słońsk";"sulęciński";"lubuskie";8;7;7;3572;3812;950;2622;0;2622;3;18;0;0;0;0;0;0;2621;0;1;2620;113;77;25;11;2507;127;317;185;827;173;835;34;;;9;;
80704;"gm. Sulęcin";"sulęciński";"lubuskie";8;22;22;10844;11131;3048;7794;0;7794;15;112;0;0;0;0;0;0;7795;0;4;7791;322;177;79;66;7469;355;974;541;2558;524;2428;71;;;18;;
80705;"gm. Torzym";"sulęciński";"lubuskie";8;11;11;4834;5026;1629;3205;0;3205;4;188;0;0;0;0;0;0;3205;0;0;3205;145;106;34;5;3060;107;316;195;935;175;1300;26;;;6;;
80801;"gm. Lubrza";"świebodziński";"lubuskie";8;6;6;2559;2802;496;2064;0;2064;1;40;0;0;0;0;0;0;2064;0;0;2064;75;46;22;7;1989;52;322;170;590;176;639;38;;;2;;
80802;"gm. Łagów";"świebodziński";"lubuskie";8;6;6;3502;3842;959;2543;1;2544;3;43;1;0;0;0;0;1;2544;1;2;2542;80;46;27;7;2462;78;282;135;769;215;942;35;;;6;;
80803;"gm. Skąpe";"świebodziński";"lubuskie";8;8;8;4128;4187;1439;2688;1;2689;2;48;1;0;0;0;0;1;2689;1;0;2689;90;57;25;8;2599;61;421;190;784;165;942;26;;;10;;
80804;"gm. Szczaniec";"świebodziński";"lubuskie";8;5;5;2650;2856;725;1925;0;1925;1;19;0;0;0;0;0;0;1924;0;2;1922;84;55;23;6;1838;42;311;142;718;154;454;14;;;3;;
80805;"gm. Świebodzin";"świebodziński";"lubuskie";8;26;26;19894;21397;4454;15440;13;15453;10;256;13;0;0;0;0;13;15450;13;1;15449;309;175;92;42;15140;355;2448;1243;4255;1012;5616;185;;;26;;
80806;"gm. Zbąszynek";"świebodziński";"lubuskie";8;7;7;5689;6165;1132;4558;0;4558;12;44;0;0;0;0;0;0;4558;0;0;4558;131;83;34;14;4427;127;789;376;1169;266;1646;41;;;13;;
80901;"gm. Babimost";"zielonogórski";"lubuskie";8;6;6;4390;4693;992;3398;0;3398;7;36;0;0;0;0;0;0;3397;0;0;3397;90;56;28;6;3307;110;592;291;936;234;1087;41;;;16;;
80902;"gm. Bojadła";"zielonogórski";"lubuskie";8;4;4;2301;2503;674;1627;0;1627;7;17;0;0;0;0;0;0;1627;0;0;1627;104;70;30;4;1523;69;230;134;460;136;465;24;;;5;;
80903;"gm. Czerwieńsk";"zielonogórski";"lubuskie";8;9;9;6839;7417;1467;5371;4;5375;2;110;4;2;0;0;0;2;5374;2;2;5372;160;83;64;13;5212;172;836;471;1391;376;1906;53;;;7;;
80904;"gm. Kargowa";"zielonogórski";"lubuskie";8;5;5;4110;4441;1014;3096;0;3096;5;95;0;0;0;0;0;0;3096;0;0;3096;70;35;29;6;3026;98;531;223;791;184;1156;35;;;8;;
80905;"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";8;14;14;7194;7603;1947;5247;4;5251;2;43;3;1;0;0;0;2;5249;2;1;5248;217;132;75;10;5031;144;738;401;1410;329;1937;56;;;16;;
80906;"gm. Sulechów";"zielonogórski";"lubuskie";8;19;19;18173;19128;4466;13705;16;13721;29;300;14;4;1;0;1;8;13716;8;2;13714;325;188;116;21;13389;352;1958;1154;3381;1031;5342;151;;;20;;
80907;"gm. Świdnica";"zielonogórski";"lubuskie";8;6;6;4943;5176;974;3968;3;3971;1;33;3;0;0;0;0;3;3972;3;5;3967;70;39;24;7;3897;126;585;382;899;203;1663;34;;;5;;
80908;"gm. Trzebiechów";"zielonogórski";"lubuskie";8;7;7;2274;2446;694;1580;1;1581;1;20;1;1;0;0;0;0;1580;0;1;1579;84;47;30;7;1495;51;235;128;451;121;486;20;;;3;;
80909;"gm. Zabór";"zielonogórski";"lubuskie";8;5;5;3359;3482;643;2717;3;2720;4;77;3;0;0;0;0;3;2721;3;4;2717;60;36;19;5;2657;78;456;257;550;179;1108;24;;;5;;
81001;"m. Gozdnica";"żagański";"lubuskie";8;3;3;2088;2185;784;1304;0;1304;5;18;0;0;0;0;0;0;1304;0;0;1304;48;29;17;2;1256;28;154;118;467;72;406;9;;;2;;
81002;"m. Żagań";"żagański";"lubuskie";8;14;14;16738;17727;4070;12669;14;12683;17;273;14;1;0;0;1;12;12677;12;12;12665;238;129;86;23;12427;356;1671;1432;3413;678;4729;111;;;37;;
81003;"gm. Brzeźnica";"żagański";"lubuskie";8;4;4;2550;2756;718;1832;0;1832;2;37;0;0;0;0;0;0;1831;0;0;1831;77;55;14;8;1754;24;419;104;677;160;353;14;;;3;;
81004;"gm. Iłowa";"żagański";"lubuskie";8;9;9;4698;5000;1396;3302;1;3303;16;61;1;0;0;0;0;1;3303;1;0;3303;113;56;49;8;3190;75;378;247;1101;258;1094;31;;;6;;
81005;"gm. Małomice";"żagański";"lubuskie";8;5;5;3655;3858;1156;2499;5;2504;1;27;4;2;0;0;0;2;2501;2;1;2500;62;35;21;6;2438;48;284;132;808;179;956;28;;;3;;
81006;"gm. Niegosławice";"żagański";"lubuskie";8;8;8;3050;3293;875;2175;0;2175;5;26;0;0;0;0;0;0;2175;0;0;2175;99;57;33;9;2076;59;316;102;987;139;435;36;;;2;;
81007;"gm. Szprotawa";"żagański";"lubuskie";8;19;19;13906;14714;4262;9644;14;9658;14;168;14;1;0;0;0;13;9655;13;2;9653;239;126;87;26;9414;155;1595;563;3256;557;3145;125;;;18;;
81008;"gm. Wymiarki";"żagański";"lubuskie";8;2;2;1550;1652;529;1021;0;1021;1;13;0;0;0;0;0;0;1020;0;0;1020;27;13;10;4;993;20;194;63;371;56;273;11;;;5;;
81009;"gm. Żagań";"żagański";"lubuskie";8;13;13;5060;5373;1420;3640;1;3641;9;41;1;0;0;0;0;1;3641;1;0;3641;119;61;33;25;3522;81;623;290;1142;235;1104;35;;;12;;
81101;"m. Łęknica";"żarski";"lubuskie";8;2;2;1620;1788;402;1218;0;1218;1;32;0;0;0;0;0;0;1218;0;0;1218;48;27;20;1;1170;25;149;105;255;98;521;13;;;4;;
81102;"m. Żary";"żarski";"lubuskie";8;23;23;24870;26295;5956;18910;26;18936;26;366;23;0;0;0;0;23;18934;23;2;18932;275;132;106;37;18657;285;2535;2059;5036;1159;7398;145;;;40;;
81103;"gm. Brody";"żarski";"lubuskie";8;6;6;2260;2460;693;1567;1;1568;1;42;1;0;0;0;0;1;1568;1;0;1568;92;71;18;3;1476;39;186;103;458;130;536;16;;;8;;
81104;"gm. Jasień";"żarski";"lubuskie";8;5;5;4760;5143;1484;3274;0;3274;7;20;0;0;0;0;0;0;3273;0;3;3270;85;53;25;7;3185;78;446;228;922;240;1237;26;;;8;;
81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";8;5;5;2270;2463;607;1663;0;1663;6;20;0;0;0;0;0;0;1661;0;0;1661;66;50;15;1;1595;32;264;119;485;137;534;20;;;4;;
81106;"gm. Lubsko";"żarski";"lubuskie";8;15;15;12637;13416;3887;8753;6;8759;10;120;6;0;0;0;0;6;8757;6;3;8754;243;136;93;14;8511;214;1098;669;2412;632;3386;75;;;25;;
81107;"gm. Przewóz";"żarski";"lubuskie";8;6;6;2222;2374;633;1589;3;1592;1;23;3;0;0;0;0;3;1592;3;0;1592;52;39;13;0;1540;43;214;147;574;116;408;32;;;6;;
81108;"gm. Trzebiel";"żarski";"lubuskie";8;5;5;3954;4300;1064;2890;1;2891;2;61;1;0;0;0;0;1;2891;1;0;2891;89;51;34;4;2802;59;421;224;956;189;910;35;;;8;;
81109;"gm. Tuplice";"żarski";"lubuskie";8;2;2;2090;2232;542;1548;0;1548;3;28;0;0;0;0;0;0;1548;0;0;1548;74;37;31;6;1474;27;211;132;420;121;540;20;;;3;;
81110;"gm. Żary";"żarski";"lubuskie";8;14;14;8703;9241;2312;6390;0;6390;7;73;0;0;0;0;0;0;6390;0;2;6388;140;81;43;16;6248;137;956;566;2057;458;2003;55;;;16;;
81201;"gm. Sława";"wschowski";"lubuskie";8;15;15;8819;9540;2383;6436;1;6437;15;144;1;0;0;0;0;1;6436;1;0;6436;190;112;64;14;6246;136;1109;473;2181;412;1830;83;;;22;;
81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";8;8;8;3502;3764;983;2518;0;2518;5;20;0;0;0;0;0;0;2518;0;0;2518;85;58;22;5;2433;52;310;161;1232;167;477;28;;;6;;
81203;"gm. Wschowa";"wschowski";"lubuskie";8;21;21;14242;15374;3807;10436;6;10442;14;228;6;0;0;0;0;6;10435;6;2;10433;275;181;78;16;10158;166;1624;696;3825;660;3008;163;;;16;;
86101;"Gorzów Wielkopolski";"Gorzów Wielkopolski";"lubuskie";8;68;68;81578;86213;17462;64116;56;64172;86;1338;52;4;0;1;0;47;64146;47;67;64079;958;535;322;101;63121;1300;9248;6042;16297;4057;25109;847;;;221;;
86201;"Zielona Góra";"Zielona Góra";"lubuskie";8;77;77;95369;103739;13270;82084;66;82150;133;1105;64;2;0;0;3;59;82120;59;71;82049;904;429;353;122;81145;1617;11484;9664;16932;4614;35872;855;;;107;;
100101;"m. Bełchatów";"bełchatowski";"łódzkie";10;28;28;39193;40843;8182;31015;4;31019;48;462;4;0;0;0;0;4;31010;4;7;31003;527;276;192;59;30476;1596;3224;2208;12901;3254;6804;394;95;;;;
100102;"gm. Bełchatów";"bełchatowski";"łódzkie";10;9;9;8892;9586;1373;7519;4;7523;11;98;4;0;0;0;0;4;7522;4;0;7522;138;73;44;21;7384;352;792;457;3708;819;1150;79;27;;;;
100103;"gm. Drużbice";"bełchatowski";"łódzkie";10;6;6;3816;4108;786;3030;0;3030;10;43;0;0;0;0;0;0;3030;0;1;3029;89;47;28;14;2940;76;449;199;1510;272;375;50;9;;;;
100104;"gm. Kleszczów";"bełchatowski";"łódzkie";10;7;7;4744;4766;978;3766;0;3766;4;26;0;0;0;0;0;0;3766;0;0;3766;104;60;29;15;3662;142;535;276;1497;529;568;97;18;;;;
100105;"gm. Kluki";"bełchatowski";"łódzkie";10;5;5;3256;3501;650;2608;0;2608;12;31;0;0;0;0;0;0;2606;0;0;2606;82;36;27;19;2524;86;259;139;1356;268;354;39;23;;;;
100106;"gm. Rusiec";"bełchatowski";"łódzkie";10;6;6;3613;3899;604;3009;0;3009;17;43;0;0;0;0;0;0;3009;0;1;3008;103;57;35;11;2905;82;437;161;1528;286;336;58;17;;;;
100107;"gm. Szczerców";"bełchatowski";"łódzkie";10;7;7;5835;6373;950;4883;1;4884;15;71;1;0;0;0;0;1;4885;1;0;4885;146;82;51;13;4739;107;499;290;2404;462;708;100;169;;;;
100108;"gm. Zelów";"bełchatowski";"łódzkie";10;11;11;10480;11235;2313;8164;2;8166;18;155;2;2;0;2;0;0;8162;0;11;8151;217;139;60;18;7934;186;877;644;4168;634;1244;167;14;;;;
100201;"m. Kutno";"kutnowski";"łódzkie";11;29;29;31018;32741;6718;24300;11;24311;75;319;11;0;0;0;0;11;24302;11;20;24282;370;227;121;22;23912;334;2321;2488;9196;1112;8122;263;76;;;;
100202;"gm. Bedlno";"kutnowski";"łódzkie";11;7;7;4041;4175;1197;2844;0;2844;2;41;0;0;0;0;0;0;2844;0;1;2843;100;55;38;7;2743;56;395;197;1503;211;345;27;9;;;;
100203;"gm. Dąbrowice";"kutnowski";"łódzkie";11;4;4;1364;1471;388;976;0;976;9;16;0;0;0;0;0;0;976;0;0;976;33;20;10;3;943;17;126;59;569;59;98;12;3;;;;
100204;"gm. Krośniewice";"kutnowski";"łódzkie";11;10;10;5778;6150;1629;4149;6;4155;12;36;6;4;0;0;0;2;4151;2;7;4144;147;79;59;9;3997;70;443;326;2064;258;789;39;8;;;;
100205;"gm. Krzyżanów";"kutnowski";"łódzkie";11;4;4;3034;3275;776;2258;0;2258;4;6;0;0;0;0;0;0;2257;0;0;2257;65;31;30;4;2192;28;261;166;1206;166;319;21;25;;;;
100206;"gm. Kutno";"kutnowski";"łódzkie";11;10;10;6302;6788;1449;4853;2;4855;5;18;2;0;0;0;0;2;4853;2;0;4853;133;72;52;9;4720;93;546;383;2172;322;1145;50;9;;;;
100207;"gm. Łanięta";"kutnowski";"łódzkie";11;3;3;1747;1743;614;1133;2;1135;0;13;2;0;0;2;0;0;1133;0;0;1133;65;39;22;4;1068;96;94;72;593;60;145;7;1;;;;
